pathway,REFERENCE,DFTB,AM1,PM3,PM3MM,PM6
1s5_1_1h2-1h2,0,1,0,0,0,0
1s5_1_1h2-1e,0,1,0,0,0,0
1s3_1c4-1ho,1,1,0,1,1,1
14b_1c4-1ho,0,1,0,0,0,1
bo3_14b-1s3,1,1,0,0,0,0
bo3_1s3-1s3,1,1,0,1,1,0
5s1_25b-2so,0,1,0,0,0,0
5s1_1c4-5e,0,1,0,1,1,0
bo3_3s1_0-25b,1,1,0,0,0,0
bo3_3s1_1-25b,0,1,0,0,0,0
5s1_14b-25b,0,1,0,0,0,0
bo3_1c4-2so,1,1,0,1,1,0
4c1_3s1_1-e1,0,1,0,1,1,0
bo3_os2-14b,0,1,0,0,0,0
14b_1c4-5e,0,1,0,0,0,0
3s1_1_1c4-5s1,1,1,0,0,0,0
3s1_1_1c4-5h4,0,1,0,0,0,0
3s1_0_1c4-5s1,1,1,0,1,1,0
3s1_0_1c4-5h4,1,1,0,1,1,0
5s1_1c4-5h4,1,1,0,1,1,0
5s1_3s1_1-e1,0,1,0,0,0,0
5s1_3s1_1-b14,0,1,0,0,0,0
b25_1s5_1-b25,1,1,0,0,0,0
4c1_14b-4h5,0,1,0,1,1,0
4c1_1s3-4h5,0,1,0,0,0,0
3s1_1_b25-3ob,0,1,0,0,0,0
4c1_3s1_1-oh5,1,1,0,1,1,0
4c1_25b-2h1,0,0,0,1,1,0
4c1_25b-e1,0,0,0,1,1,0
4c1_25b-2e,0,0,0,1,1,0
3s1_1_os2-3ob,1,0,0,1,1,0
1s5_1_25b-oh1_0,0,0,0,1,1,1
1s5_0_25b-oh1_0,0,0,0,1,1,0
4c1_3s1_1-e5,0,0,0,1,1,0
b25_os2-os2,0,0,0,1,1,1
4c1_3s1_0-e1,1,0,0,1,1,0
b25_e2-e2,0,0,0,1,1,0
b25_3h2-e2,0,0,0,1,1,0
3s1_0_1c4-3h4,1,0,0,1,1,0
4c1_os2-oh1_0,1,0,0,1,1,0
5s1_os2-e1,0,0,0,1,1,0
5s1_os2-b14,0,0,0,1,1,0
bo3_1c4-1ho,1,0,0,1,1,0
bo3_1c4-1e,1,0,0,1,1,0
5s1_5h4-5h4,0,0,0,1,1,0
5s1_1c4-5s1,0,0,0,1,1,0
4c1_os2-e1,0,0,0,1,1,0
4c1_os2-oh1_1,1,0,0,1,1,0
4c1_25b-oh1_1,0,0,0,1,1,0
4c1_e3-e3,0,0,0,1,1,0
4c1_bo3-2e,0,0,0,1,1,0
4c1_5s1-2e,0,0,0,1,1,0
3s1_0_1c4-3s1,0,0,0,1,1,0
5s1_25b-25b,0,0,0,1,1,0
1s3_b25-1s5,0,0,0,0,0,1
1s5_1_1c4-1s5,0,0,0,0,0,1
1s5_0_1c4-1s5,0,0,0,0,0,1
1s3_5h4-bo3,0,0,0,0,0,1
1s3_5h4-1s3,0,0,0,0,0,1
bo3_1c4-1s3,0,0,0,0,0,1
1e_1c4-1h2,0,0,0,0,0,1
b25_25b-3ob,0,0,0,0,0,1
4c1_3s1_1-4c1,0,0,0,0,0,1
4c1_os2-4c1,0,0,0,0,0,1
4c1_14b-e5,0,0,0,0,0,1
4c1_1s3-e5,0,0,0,0,0,1
b25_1c4-b25,0,0,0,0,0,1
1s5_1_1c4-b25,0,0,0,0,0,1
1s5_1_1c4-e2,0,0,0,0,0,1
3s1_1_1h2-os2,0,0,0,0,0,1
3s1_1_b25-os2,0,0,0,0,0,1
3s1_1_1s5_1-os2,1,0,0,0,0,1
14b_5e-eo,0,0,0,0,0,1
1s5_0_5e-eo,0,0,0,0,0,1
b25_25b-oh1_0,0,0,0,0,0,1
b25_25b-3s1,0,0,0,0,0,1
1s5_1_25b-3s1,0,0,0,0,0,1
5s1_1c4-3s1,0,0,0,0,0,1
14b_1c4-1c4,0,0,0,0,0,1
1s3_1c4-1c4,0,0,0,0,0,1
3s1_1_1s5_1-oh5,0,0,0,0,0,1
1s5_1_os2-oh5,0,0,0,0,0,1
3s1_1_1s5_1-oh1_0,0,0,0,0,0,1
3s1_1_b25-oh1_0,0,0,0,0,0,1
3s1_1_b25-oh5,0,0,0,0,0,1
1s5_0_1c4-14b,0,0,0,0,0,1
1s3_b25-14b,0,0,0,0,0,1
bo3_1s3-14b,0,0,0,0,0,1
4c1_bo3-e1,0,0,0,0,0,1
4c1_bo3-2h1,1,0,0,0,0,1
b25_1h2-b25,0,0,0,0,0,1
b25_5e-b25,0,0,0,0,0,1
b25_5e-e2,0,0,0,0,0,1
bo3_1s3-2h1,0,0,0,0,0,1
bo3_1s3-25b,0,0,0,0,0,1
5s1_1c4-2h1,0,0,0,0,0,1
5s1_1c4-25b,0,0,0,0,0,1
bo3_5e-bo3,0,0,0,0,0,1
bo3_25b-25b,1,0,0,0,0,0
4c1_5s1-25b,1,0,0,0,0,0
1s3_25b-2so,1,0,0,0,0,0
4c1_3s1_0-2h1,1,0,0,0,0,0
4c1_3s1_1-2h1,1,0,0,0,0,0
3s1_1_1c4-e2,1,0,0,0,0,0
4c1_1s5_1-4h3,1,0,0,0,0,0
3s1_0_1c4-5e,1,0,0,0,0,0
b25_1s5_1-os2,1,0,0,0,0,0
3s1_1_1s5_1-b25,1,0,0,0,0,0
4c1_1s3-bo3,1,0,0,0,0,0
4c1_1s3-e3,1,0,0,0,0,0
4c1_14b-bo3,1,0,0,0,0,0
4c1_1s5_1-oh1_0,1,0,0,0,0,0
4c1_3s1_0-oh1_0,1,0,0,0,0,0
4c1_1s3-oh5,1,0,0,0,0,0
