LM1,TS,LM2,REFERENCE,DFTB,AM1,PM3,PM3MM,PM6
4c1,2h1,25b,0,0,0,1,1,0
4c1,e1,25b,0,0,0,1,1,0
4c1,2e,25b,0,0,0,1,1,0
3s1(1),3ob,os2,1,0,0,1,1,0
1s5(1),oh1(0),25b,0,0,0,1,1,1
1s5(0),oh1(0),25b,0,0,0,1,1,0
4c1,e5,3s1(1),0,0,0,1,1,0
b25,os2,os2,0,0,0,1,1,1
4c1,e1,3s1(0),1,0,0,1,1,0
b25,e2,e2,0,0,0,1,1,0
b25,e2,3h2,0,0,0,1,1,0
3s1(0),3h4,1c4,1,0,0,1,1,0
4c1,oh1(0),os2,1,0,0,1,1,0
5s1,e1,os2,0,0,0,1,1,0
5s1,b14,os2,0,0,0,1,1,0
bo3,1ho,1c4,1,0,0,1,1,0
bo3,1e,1c4,1,0,0,1,1,0
5s1,5h4,5h4,0,0,0,1,1,0
5s1,5s1,1c4,0,0,0,1,1,0
4c1,e1,os2,0,0,0,1,1,0
4c1,oh1(1),os2,1,0,0,1,1,0
4c1,oh1(1),25b,0,0,0,1,1,0
4c1,e3,e3,0,0,0,1,1,0
4c1,2e,bo3,0,0,0,1,1,0
4c1,2e,5s1,0,0,0,1,1,0
3s1(0),3s1,1c4,0,0,0,1,1,0
5s1,25b,25b,0,0,0,1,1,0
1s3,1s5,b25,0,0,0,0,0,1
1s5(1),1s5,1c4,0,0,0,0,0,1
1s5(0),1s5,1c4,0,0,0,0,0,1
1s3,bo3,5h4,0,0,0,0,0,1
1s3,1s3,5h4,0,0,0,0,0,1
bo3,1s3,1c4,0,0,0,0,0,1
1e,1h2,1c4,0,0,0,0,0,1
b25,3ob,25b,0,0,0,0,0,1
4c1,4c1,3s1(1),0,0,0,0,0,1
4c1,4c1,os2,0,0,0,0,0,1
4c1,e5,14b,0,0,0,0,0,1
4c1,e5,1s3,0,0,0,0,0,1
b25,b25,1c4,0,0,0,0,0,1
1s5(1),b25,1c4,0,0,0,0,0,1
1s5(1),e2,1c4,0,0,0,0,0,1
3s1(1),os2,1h2,0,0,0,0,0,1
3s1(1),os2,b25,0,0,0,0,0,1
3s1(1),os2,1s5(1),1,0,0,0,0,1
14b,eo,5e,0,0,0,0,0,1
1s5(0),eo,5e,0,0,0,0,0,1
b25,oh1(0),25b,0,0,0,0,0,1
b25,3s1,25b,0,0,0,0,0,1
1s5(1),3s1,25b,0,0,0,0,0,1
5s1,3s1,1c4,0,0,0,0,0,1
14b,1c4,1c4,0,0,0,0,0,1
1s3,1c4,1c4,0,0,0,0,0,1
3s1(1),oh5,1s5(1),0,0,0,0,0,1
1s5(1),oh5,os2,0,0,0,0,0,1
3s1(1),oh1(0),1s5(1),0,0,0,0,0,1
3s1(1),oh1(0),b25,0,0,0,0,0,1
3s1(1),oh5,b25,0,0,0,0,0,1
1s5(0),14b,1c4,0,0,0,0,0,1
1s3,14b,b25,0,0,0,0,0,1
bo3,14b,1s3,0,0,0,0,0,1
4c1,e1,bo3,0,0,0,0,0,1
4c1,2h1,bo3,1,0,0,0,0,1
b25,b25,1h2,0,0,0,0,0,1
b25,b25,5e,0,0,0,0,0,1
b25,e2,5e,0,0,0,0,0,1
bo3,2h1,1s3,0,0,0,0,0,1
bo3,25b,1s3,0,0,0,0,0,1
5s1,2h1,1c4,0,0,0,0,0,1
5s1,25b,1c4,0,0,0,0,0,1
bo3,bo3,5e,0,0,0,0,0,1
bo3,25b,25b,1,0,0,0,0,0
4c1,25b,5s1,1,0,0,0,0,0
1s3,2so,25b,1,0,0,0,0,0
4c1,2h1,3s1(0),1,0,0,0,0,0
4c1,2h1,3s1(1),1,0,0,0,0,0
3s1(1),e2,1c4,1,0,0,0,0,0
4c1,4h3,1s5(1),1,0,0,0,0,0
3s1(0),5e,1c4,1,0,0,0,0,0
b25,os2,1s5(1),1,0,0,0,0,0
3s1(1),b25,1s5(1),1,0,0,0,0,0
4c1,bo3,1s3,1,0,0,0,0,0
4c1,e3,1s3,1,0,0,0,0,0
4c1,bo3,14b,1,0,0,0,0,0
4c1,oh1(0),1s5(1),1,0,0,0,0,0
4c1,oh1(0),3s1(0),1,0,0,0,0,0
4c1,oh5,1s3,1,0,0,0,0,0
